강의실,요일,시간,합계
아트관,금,1,66.0
아트관,금,2,15.0
아트관,금,3,66.0
아트관,금,4,15.0
아트관,금,5,67.0
아트관,금,6,0.0
아트관,금,7,67.0
아트관,금,8,0.0
아트관,금,9,0.0
아트관,금,10,0.0
아트관,금,11,0.0
아트관,금,12,0.0
아트관,금,13,0.0
아트관,금,14,0.0
아트관,금,15,0.0
아트관,토,1,0.0
아트관,토,2,0.0
아트관,토,3,0.0
아트관,토,4,0.0
아트관,토,5,0.0
아트관,토,6,0.0
아트관,토,7,0.0
아트관,토,8,0.0
아트관,토,9,0.0
아트관,토,10,0.0
아트관,토,11,0.0
아트관,토,12,0.0
아트관,토,13,0.0
아트관,토,14,0.0
아트관,토,15,0.0
아트관,일,1,0.0
아트관,일,2,0.0
아트관,일,3,0.0
아트관,일,4,0.0
아트관,일,5,0.0
아트관,일,6,0.0
아트관,일,7,0.0
아트관,일,8,0.0
아트관,일,9,0.0
아트관,일,10,0.0
아트관,일,11,0.0
아트관,일,12,0.0
아트관,일,13,0.0
아트관,일,14,0.0
아트관,일,15,0.0
에스라관,월,1,13.0
에스라관,월,2,43.0
에스라관,월,3,13.0
에스라관,월,4,43.0
에스라관,월,5,36.0
에스라관,월,6,60.0
에스라관,월,7,57.0
에스라관,월,8,81.0
에스라관,월,9,0.0
에스라관,월,10,0.0
에스라관,월,11,0.0
에스라관,월,12,0.0
에스라관,월,13,0.0
에스라관,월,14,0.0
에스라관,월,15,0.0
에스라관,화,1,0.0
에스라관,화,2,87.0
에스라관,화,3,0.0
에스라관,화,4,87.0
에스라관,화,5,62.0
에스라관,화,6,47.0
에스라관,화,7,42.0
에스라관,화,8,27.0
에스라관,화,9,16.0
에스라관,화,10,0.0
에스라관,화,11,0.0
에스라관,화,12,0.0
에스라관,화,13,4.0
에스라관,화,14,0.0
에스라관,화,15,4.0
에스라관,수,1,0.0
에스라관,수,2,56.0
에스라관,수,3,0.0
에스라관,수,4,26.0
에스라관,수,5,10.0
에스라관,수,6,77.0
에스라관,수,7,10.0
에스라관,수,8,77.0
에스라관,수,9,0.0
에스라관,수,10,0.0
에스라관,수,11,0.0
에스라관,수,12,9.0
에스라관,수,13,0.0
에스라관,수,14,9.0
에스라관,수,15,0.0
에스라관,목,1,46.0
에스라관,목,2,47.0
에스라관,목,3,46.0
에스라관,목,4,47.0
에스라관,목,5,51.0
에스라관,목,6,41.0
에스라관,목,7,51.0
에스라관,목,8,41.0
에스라관,목,9,0.0
에스라관,목,10,0.0
에스라관,목,11,0.0
에스라관,목,12,14.0
에스라관,목,13,0.0
에스라관,목,14,14.0
에스라관,목,15,0.0
에스라관,금,1,0.0
에스라관,금,2,24.0
에스라관,금,3,18.0
에스라관,금,4,24.0
에스라관,금,5,43.0
에스라관,금,6,17.0
에스라관,금,7,25.0
에스라관,금,8,17.0
에스라관,금,9,0.0
에스라관,금,10,0.0
에스라관,금,11,0.0
에스라관,금,12,0.0
에스라관,금,13,0.0
에스라관,금,14,0.0
에스라관,금,15,0.0
에스라관,토,1,0.0
에스라관,토,2,0.0
에스라관,토,3,0.0
에스라관,토,4,0.0
에스라관,토,5,0.0
에스라관,토,6,0.0
에스라관,토,7,0.0
에스라관,토,8,0.0
에스라관,토,9,0.0
에스라관,토,10,0.0
에스라관,토,11,0.0
에스라관,토,12,0.0
에스라관,토,13,0.0
에스라관,토,14,0.0
에스라관,토,15,0.0
에스라관,일,1,0.0
에스라관,일,2,0.0
에스라관,일,3,0.0
에스라관,일,4,0.0
에스라관,일,5,0.0
에스라관,일,6,0.0
에스라관,일,7,0.0
에스라관,일,8,0.0
에스라관,일,9,0.0
에스라관,일,10,0.0
에스라관,일,11,0.0
에스라관,일,12,0.0
에스라관,일,13,0.0
에스라관,일,14,0.0
에스라관,일,15,0.0
음악관,월,1,33.0
음악관,월,2,33.0
음악관,월,3,0.0
음악관,월,4,0.0
음악관,월,5,26.0
음악관,월,6,26.0
음악관,월,7,9.0
음악관,월,8,9.0
음악관,월,9,6.0
음악관,월,10,6.0
음악관,월,11,0.0
음악관,월,12,0.0
음악관,월,13,0.0
음악관,월,14,0.0
음악관,월,15,0.0
음악관,화,1,15.0
음악관,화,2,1.0
음악관,화,3,16.0
음악관,화,4,13.0
음악관,화,5,16.0
음악관,화,6,33.0
음악관,화,7,36.0
음악관,화,8,15.0
음악관,화,9,21.0
음악관,화,10,0.0
음악관,화,11,0.0
음악관,화,12,0.0
음악관,화,13,0.0
음악관,화,14,0.0
음악관,화,15,0.0
음악관,수,1,8.0
음악관,수,2,15.0
음악관,수,3,15.0
음악관,수,4,0.0
음악관,수,5,20.0
음악관,수,6,18.0
음악관,수,7,24.0
음악관,수,8,20.0
음악관,수,9,0.0
음악관,수,10,0.0
음악관,수,11,0.0
음악관,수,12,0.0
음악관,수,13,0.0
음악관,수,14,0.0
음악관,수,15,0.0
음악관,목,1,25.0
음악관,목,2,32.0
음악관,목,3,20.0
음악관,목,4,27.0
음악관,목,5,17.0
음악관,목,6,17.0
음악관,목,7,26.0
음악관,목,8,26.0
음악관,목,9,18.0
음악관,목,10,18.0
음악관,목,11,0.0
음악관,목,12,0.0
음악관,목,13,0.0
음악관,목,14,0.0
음악관,목,15,0.0
음악관,금,1,0.0
음악관,금,2,3.0
음악관,금,3,3.0
음악관,금,4,0.0
음악관,금,5,8.0
음악관,금,6,8.0
음악관,금,7,0.0
음악관,금,8,0.0
음악관,금,9,0.0
음악관,금,10,10.0
음악관,금,11,10.0
음악관,금,12,0.0
음악관,금,13,0.0
음악관,금,14,0.0
음악관,금,15,0.0
음악관,토,1,0.0
음악관,토,2,0.0
음악관,토,3,0.0
음악관,토,4,0.0
음악관,토,5,0.0
음악관,토,6,0.0
음악관,토,7,0.0
음악관,토,8,0.0
음악관,토,9,0.0
음악관,토,10,0.0
음악관,토,11,0.0
음악관,토,12,0.0
음악관,토,13,0.0
음악관,토,14,0.0
음악관,토,15,0.0
음악관,일,1,0.0
음악관,일,2,0.0
음악관,일,3,0.0
음악관,일,4,14.0
음악관,일,5,14.0
음악관,일,6,22.0
음악관,일,7,0.0
음악관,일,8,0.0
음악관,일,9,22.0
음악관,일,10,17.0
음악관,일,11,17.0
음악관,일,12,0.0
음악관,일,13,0.0
음악관,일,14,1.0
음악관,일,15,1.0
제1실습관,월,1,112.0
제1실습관,월,2,129.0
제1실습관,월,3,86.0
제1실습관,월,4,46.0
제1실습관,월,5,260.0
제1실습관,월,6,184.0
제1실습관,월,7,107.0
제1실습관,월,8,128.0
제1실습관,월,9,48.0
제1실습관,월,10,85.0
제1실습관,월,11,0.0
제1실습관,월,12,0.0
제1실습관,월,13,49.0
제1실습관,월,14,0.0
제1실습관,월,15,0.0
제1실습관,화,1,216.0
제1실습관,화,2,55.0
제1실습관,화,3,205.0
제1실습관,화,4,199.0
제1실습관,화,5,207.0
제1실습관,화,6,135.0
제1실습관,화,7,182.0
제1실습관,화,8,153.0
제1실습관,화,9,62.0
제1실습관,화,10,132.0
제1실습관,화,11,0.0
제1실습관,화,12,97.0
제1실습관,화,13,35.0
제1실습관,화,14,0.0
제1실습관,화,15,0.0
제1실습관,수,1,85.0
제1실습관,수,2,66.0
제1실습관,수,3,166.0
제1실습관,수,4,98.0
제1실습관,수,5,218.0
제1실습관,수,6,117.0
제1실습관,수,7,183.0
제1실습관,수,8,90.0
제1실습관,수,9,25.0
제1실습관,수,10,80.0
제1실습관,수,11,0.0
제1실습관,수,12,0.0
제1실습관,수,13,0.0
제1실습관,수,14,0.0
제1실습관,수,15,0.0
제1실습관,목,1,111.0
제1실습관,목,2,228.0
제1실습관,목,3,134.0
제1실습관,목,4,232.0
제1실습관,목,5,89.0
제1실습관,목,6,224.0
제1실습관,목,7,66.0
제1실습관,목,8,169.0
제1실습관,목,9,5.0
제1실습관,목,10,80.0
제1실습관,목,11,0.0
제1실습관,목,12,0.0
제1실습관,목,13,0.0
제1실습관,목,14,0.0
제1실습관,목,15,0.0
제1실습관,금,1,114.0
제1실습관,금,2,63.0
제1실습관,금,3,120.0
제1실습관,금,4,57.0
제1실습관,금,5,0.0
제1실습관,금,6,54.0
제1실습관,금,7,0.0
제1실습관,금,8,54.0
제1실습관,금,9,0.0
제1실습관,금,10,0.0
제1실습관,금,11,0.0
제1실습관,금,12,0.0
제1실습관,금,13,0.0
제1실습관,금,14,0.0
제1실습관,금,15,0.0
제1실습관,토,1,0.0
제1실습관,토,2,0.0
제1실습관,토,3,0.0
제1실습관,토,4,0.0
제1실습관,토,5,0.0
제1실습관,토,6,0.0
제1실습관,토,7,0.0
제1실습관,토,8,0.0
제1실습관,토,9,0.0
제1실습관,토,10,0.0
제1실습관,토,11,0.0
제1실습관,토,12,0.0
제1실습관,토,13,0.0
제1실습관,토,14,0.0
제1실습관,토,15,0.0
제1실습관,일,1,0.0
제1실습관,일,2,0.0
제1실습관,일,3,0.0
제1실습관,일,4,0.0
제1실습관,일,5,0.0
제1실습관,일,6,0.0
제1실습관,일,7,0.0
제1실습관,일,8,0.0
제1실습관,일,9,0.0
제1실습관,일,10,0.0
제1실습관,일,11,0.0
제1실습관,일,12,0.0
제1실습관,일,13,0.0
제1실습관,일,14,0.0
제1실습관,일,15,0.0
제2과학관,월,1,36.0
제2과학관,월,2,153.0
제2과학관,월,3,62.0
제2과학관,월,4,127.0
제2과학관,월,5,132.0
제2과학관,월,6,60.0
제2과학관,월,7,131.0
제2과학관,월,8,61.0
제2과학관,월,9,23.0
제2과학관,월,10,35.0
제2과학관,월,11,0.0
제2과학관,월,12,10.0
제2과학관,월,13,0.0
제2과학관,월,14,0.0
제2과학관,월,15,0.0
제2과학관,화,1,157.0
제2과학관,화,2,113.0
제2과학관,화,3,202.0
제2과학관,화,4,90.0
제2과학관,화,5,181.0
제2과학관,화,6,125.0
제2과학관,화,7,159.0
제2과학관,화,8,127.0
제2과학관,화,9,2.0
제2과학관,화,10,12.0
제2과학관,화,11,0.0
제2과학관,화,12,10.0
제2과학관,화,13,0.0
제2과학관,화,14,0.0
제2과학관,화,15,0.0
제2과학관,수,1,47.0
제2과학관,수,2,123.0
제2과학관,수,3,76.0
제2과학관,수,4,148.0
제2과학관,수,5,123.0
제2과학관,수,6,170.0
제2과학관,수,7,158.0
제2과학관,수,8,107.0
제2과학관,수,9,50.0
제2과학관,수,10,0.0
제2과학관,수,11,0.0
제2과학관,수,12,0.0
제2과학관,수,13,0.0
제2과학관,수,14,0.0
제2과학관,수,15,0.0
제2과학관,목,1,53.0
제2과학관,목,2,86.0
제2과학관,목,3,53.0
제2과학관,목,4,36.0
제2과학관,목,5,102.0
제2과학관,목,6,39.0
제2과학관,목,7,45.0
제2과학관,목,8,32.0
제2과학관,목,9,0.0
제2과학관,목,10,0.0
제2과학관,목,11,0.0
제2과학관,목,12,0.0
제2과학관,목,13,0.0
제2과학관,목,14,0.0
제2과학관,목,15,0.0
제2과학관,금,1,11.0
제2과학관,금,2,120.0
제2과학관,금,3,11.0
제2과학관,금,4,120.0
제2과학관,금,5,20.0
제2과학관,금,6,71.0
제2과학관,금,7,20.0
제2과학관,금,8,64.0
제2과학관,금,9,7.0
제2과학관,금,10,0.0
제2과학관,금,11,0.0
제2과학관,금,12,0.0
제2과학관,금,13,0.0
제2과학관,금,14,0.0
제2과학관,금,15,0.0
제2과학관,토,1,0.0
제2과학관,토,2,0.0
제2과학관,토,3,0.0
제2과학관,토,4,0.0
제2과학관,토,5,0.0
제2과학관,토,6,0.0
제2과학관,토,7,0.0
제2과학관,토,8,0.0
제2과학관,토,9,0.0
제2과학관,토,10,0.0
제2과학관,토,11,0.0
제2과학관,토,12,0.0
제2과학관,토,13,0.0
제2과학관,토,14,0.0
제2과학관,토,15,0.0
제2과학관,일,1,7.0
제2과학관,일,2,0.0
제2과학관,일,3,7.0
제2과학관,일,4,0.0
제2과학관,일,5,0.0
제2과학관,일,6,0.0
제2과학관,일,7,0.0
제2과학관,일,8,0.0
제2과학관,일,9,0.0
제2과학관,일,10,0.0
제2과학관,일,11,0.0
제2과학관,일,12,0.0
제2과학관,일,13,0.0
제2과학관,일,14,0.0
제2과학관,일,15,0.0
제3과학관,월,1,43.0
제3과학관,월,2,22.0
제3과학관,월,3,16.0
제3과학관,월,4,5.0
제3과학관,월,5,37.0
제3과학관,월,6,4.0
제3과학관,월,7,37.0
제3과학관,월,8,25.0
제3과학관,월,9,21.0
제3과학관,월,10,0.0
제3과학관,월,11,0.0
제3과학관,월,12,0.0
제3과학관,월,13,0.0
제3과학관,월,14,0.0
제3과학관,월,15,0.0
제3과학관,화,1,0.0
제3과학관,화,2,40.0
제3과학관,화,3,0.0
제3과학관,화,4,40.0
제3과학관,화,5,0.0
제3과학관,화,6,47.0
제3과학관,화,7,0.0
제3과학관,화,8,37.0
제3과학관,화,9,10.0
제3과학관,화,10,0.0
제3과학관,화,11,0.0
제3과학관,화,12,0.0
제3과학관,화,13,0.0
제3과학관,화,14,0.0
제3과학관,화,15,0.0
제3과학관,수,1,16.0
제3과학관,수,2,21.0
제3과학관,수,3,15.0
제3과학관,수,4,10.0
제3과학관,수,5,21.0
제3과학관,수,6,10.0
제3과학관,수,7,15.0
제3과학관,수,8,21.0
제3과학관,수,9,0.0
제3과학관,수,10,5.0
제3과학관,수,11,0.0
제3과학관,수,12,0.0
제3과학관,수,13,0.0
제3과학관,수,14,0.0
제3과학관,수,15,0.0
제3과학관,목,1,26.0
제3과학관,목,2,15.0
제3과학관,목,3,26.0
제3과학관,목,4,5.0
제3과학관,목,5,47.0
제3과학관,목,6,37.0
제3과학관,목,7,37.0
제3과학관,목,8,11.0
제3과학관,목,9,48.0
제3과학관,목,10,0.0
제3과학관,목,11,0.0
제3과학관,목,12,0.0
제3과학관,목,13,0.0
제3과학관,목,14,0.0
제3과학관,목,15,0.0
제3과학관,금,1,0.0
제3과학관,금,2,15.0
제3과학관,금,3,0.0
제3과학관,금,4,15.0
제3과학관,금,5,0.0
제3과학관,금,6,12.0
제3과학관,금,7,0.0
제3과학관,금,8,12.0
제3과학관,금,9,0.0
제3과학관,금,10,0.0
제3과학관,금,11,0.0
제3과학관,금,12,0.0
제3과학관,금,13,0.0
제3과학관,금,14,0.0
제3과학관,금,15,0.0
제3과학관,토,1,0.0
제3과학관,토,2,0.0
제3과학관,토,3,0.0
제3과학관,토,4,0.0
제3과학관,토,5,0.0
제3과학관,토,6,0.0
제3과학관,토,7,0.0
제3과학관,토,8,0.0
제3과학관,토,9,0.0
제3과학관,토,10,0.0
제3과학관,토,11,0.0
제3과학관,토,12,0.0
제3과학관,토,13,0.0
제3과학관,토,14,0.0
제3과학관,토,15,0.0
제3과학관,일,1,0.0
제3과학관,일,2,0.0
제3과학관,일,3,0.0
제3과학관,일,4,0.0
제3과학관,일,5,0.0
제3과학관,일,6,0.0
제3과학관,일,7,0.0
제3과학관,일,8,0.0
제3과학관,일,9,0.0
제3과학관,일,10,0.0
제3과학관,일,11,0.0
제3과학관,일,12,0.0
제3과학관,일,13,0.0
제3과학관,일,14,0.0
제3과학관,일,15,0.0
체육관,월,1,16.0
체육관,월,2,16.0
체육관,월,3,12.0
체육관,월,4,0.0
체육관,월,5,12.0
체육관,월,6,0.0
체육관,월,7,40.0
체육관,월,8,9.0
체육관,월,9,31.0
체육관,월,10,0.0
체육관,월,11,0.0
체육관,월,12,0.0
체육관,월,13,0.0
체육관,월,14,0.0
체육관,월,15,0.0
체육관,화,1,9.0
체육관,화,2,41.0
체육관,화,3,9.0
체육관,화,4,41.0
체육관,화,5,0.0
체육관,화,6,60.0
체육관,화,7,0.0
체육관,화,8,60.0
체육관,화,9,0.0
체육관,화,10,0.0
체육관,화,11,0.0
체육관,화,12,8.0
체육관,화,13,8.0
체육관,화,14,0.0
체육관,화,15,0.0
체육관,수,1,39.0
체육관,수,2,18.0
체육관,수,3,44.0
체육관,수,4,23.0
체육관,수,5,8.0
체육관,수,6,8.0
체육관,수,7,0.0
체육관,수,8,7.0
체육관,수,9,7.0
체육관,수,10,3.0
체육관,수,11,3.0
체육관,수,12,0.0
체육관,수,13,0.0
체육관,수,14,0.0
체육관,수,15,0.0
체육관,목,1,25.0
체육관,목,2,6.0
체육관,목,3,31.0
체육관,목,4,41.0
체육관,목,5,7.0
체육관,목,6,43.0
체육관,목,7,5.0
체육관,목,8,0.0
체육관,목,9,0.0
체육관,목,10,0.0
체육관,목,11,0.0
체육관,목,12,0.0
체육관,목,13,0.0
체육관,목,14,0.0
체육관,목,15,0.0
체육관,금,1,35.0
체육관,금,2,26.0
체육관,금,3,10.0
체육관,금,4,1.0
체육관,금,5,22.0
체육관,금,6,6.0
체육관,금,7,16.0
체육관,금,8,12.0
체육관,금,9,0.0
체육관,금,10,0.0
체육관,금,11,0.0
체육관,금,12,0.0
체육관,금,13,0.0
체육관,금,14,0.0
체육관,금,15,0.0
체육관,토,1,0.0
체육관,토,2,0.0
체육관,토,3,0.0
체육관,토,4,0.0
체육관,토,5,0.0
체육관,토,6,0.0
체육관,토,7,0.0
체육관,토,8,0.0
체육관,토,9,0.0
체육관,토,10,0.0
체육관,토,11,0.0
체육관,토,12,0.0
체육관,토,13,0.0
체육관,토,14,0.0
체육관,토,15,0.0
체육관,일,1,0.0
체육관,일,2,0.0
체육관,일,3,0.0
체육관,일,4,0.0
체육관,일,5,0.0
체육관,일,6,0.0
체육관,일,7,0.0
체육관,일,8,0.0
체육관,일,9,0.0
체육관,일,10,0.0
체육관,일,11,0.0
체육관,일,12,0.0
체육관,일,13,0.0
체육관,일,14,0.0
체육관,일,15,0.0
